Track Name,Race Number,Race Link,Race Time
MUSWELLBROOK (NSW),1,https://swiftbet.com.au//racing/gallops/muswellbrook/race-1-1977513-1089468,race time unavailable
MUSWELLBROOK (NSW),2,https://swiftbet.com.au//racing/gallops/muswellbrook/race-2-1977533-1089468,race time unavailable
MUSWELLBROOK (NSW),3,https://swiftbet.com.au//racing/gallops/muswellbrook/race-3-1977545-1089468,race time unavailable
MUSWELLBROOK (NSW),4,https://swiftbet.com.au//racing/gallops/muswellbrook/race-4-1977558-1089468,race time unavailable
MUSWELLBROOK (NSW),5,https://swiftbet.com.au//racing/gallops/muswellbrook/race-5-1977570-1089468,race time unavailable
MUSWELLBROOK (NSW),6,https://swiftbet.com.au//racing/gallops/muswellbrook/race-6-1977577-1089468,race time unavailable
MUSWELLBROOK (NSW),7,https://swiftbet.com.au//racing/gallops/muswellbrook/race-7-1977581-1089468,race time unavailable
KILMORE (VIC),1,https://swiftbet.com.au//racing/gallops/kilmore/race-1-1978627-1089560,02:29
KILMORE (VIC),2,https://swiftbet.com.au//racing/gallops/kilmore/race-2-1978636-1089560,02:59
KILMORE (VIC),3,https://swiftbet.com.au//racing/gallops/kilmore/race-3-1978642-1089560,03:29
KILMORE (VIC),4,https://swiftbet.com.au//racing/gallops/kilmore/race-4-1978648-1089560,03:59
KILMORE (VIC),5,https://swiftbet.com.au//racing/gallops/kilmore/race-5-1978653-1089560,04:29
KILMORE (VIC),6,https://swiftbet.com.au//racing/gallops/kilmore/race-6-1978656-1089560,04:59
KILMORE (VIC),7,https://swiftbet.com.au//racing/gallops/kilmore/race-7-1978660-1089560,05:29
KILMORE (VIC),8,https://swiftbet.com.au//racing/gallops/kilmore/race-8-1978667-1089560,05:59
DUBBO (NSW),1,https://swiftbet.com.au//racing/gallops/kilmore/race-1-1978627-1089560,02:29
DUBBO (NSW),2,https://swiftbet.com.au//racing/gallops/kilmore/race-2-1978636-1089560,02:59
DUBBO (NSW),3,https://swiftbet.com.au//racing/gallops/kilmore/race-3-1978642-1089560,03:29
DUBBO (NSW),4,https://swiftbet.com.au//racing/gallops/kilmore/race-4-1978648-1089560,03:59
DUBBO (NSW),5,https://swiftbet.com.au//racing/gallops/kilmore/race-5-1978653-1089560,04:29
DUBBO (NSW),6,https://swiftbet.com.au//racing/gallops/kilmore/race-6-1978656-1089560,04:59
DUBBO (NSW),7,https://swiftbet.com.au//racing/gallops/kilmore/race-7-1978660-1089560,05:29
DUBBO (NSW),8,https://swiftbet.com.au//racing/gallops/kilmore/race-8-1978667-1089560,05:59
EMERALD (QLD),1,https://swiftbet.com.au//racing/gallops/kilmore/race-1-1978627-1089560,02:29
EMERALD (QLD),2,https://swiftbet.com.au//racing/gallops/kilmore/race-2-1978636-1089560,02:59
EMERALD (QLD),3,https://swiftbet.com.au//racing/gallops/kilmore/race-3-1978642-1089560,03:29
EMERALD (QLD),4,https://swiftbet.com.au//racing/gallops/kilmore/race-4-1978648-1089560,03:59
EMERALD (QLD),5,https://swiftbet.com.au//racing/gallops/kilmore/race-5-1978653-1089560,04:29
EMERALD (QLD),6,https://swiftbet.com.au//racing/gallops/kilmore/race-6-1978656-1089560,04:59
EMERALD (QLD),7,https://swiftbet.com.au//racing/gallops/kilmore/race-7-1978660-1089560,05:29
EMERALD (QLD),8,https://swiftbet.com.au//racing/gallops/kilmore/race-8-1978667-1089560,05:59
